Gesture,Thumb_TIP_MCP,Thumb_TIP_Wrist,Index_TIP_MCP,Index_TIP_Wrist,Middle_TIP_MCP,Middle_TIP_Wrist,Ring_TIP_MCP,Ring_TIP_Wrist,Pinky_TIP_MCP,Pinky_TIP_Wrist
scissors,0.20847932888197557,0.46226288490674466,0.32967007860403486,0.7274836644876006,0.39485123223032187,0.808367193220877,0.3798358206502064,0.7836577502702169,0.3015136305914163,0.6743259489033764
scissors,0.2068493702352197,0.4496921470782049,0.31794858252623065,0.6914167834397312,0.3816337682331888,0.773937852050048,0.36856028502135296,0.7535544029523354,0.2941499795880491,0.6521893103743219
scissors,0.20009789479799342,0.4323992648010249,0.31174392943377505,0.6777656384689916,0.37402592480690194,0.7610730558097262,0.36060166074705274,0.7411353764461484,0.2876431037678448,0.6419615154271062
scissors,0.20174065164311555,0.4382289661079012,0.3093721143642959,0.6820013317681827,0.36835369082365516,0.7552758108983898,0.36060295102765677,0.7300582415371348,0.2650854057716024,0.5938188734262755
scissors,0.21356381465927443,0.4496073599159156,0.3090808284231384,0.6815715103139972,0.36689698935612064,0.7490110716392993,0.3560864958665815,0.7136480402874311,0.2554969450019881,0.566066764314283
scissors,0.20270588820150975,0.44382045108375157,0.30540673156240583,0.6727257929689782,0.36787678443219823,0.757998760646207,0.3515653971189591,0.7389189358286858,0.2833579330321105,0.6489460601817029
scissors,0.2062288916394473,0.4114664488688602,0.28706497396278313,0.6002194041306531,0.33245907302401945,0.6712202353250234,0.3187221637248914,0.6644610138801557,0.2789731291618978,0.6180284231555577
scissors,0.1893480787813084,0.3859188010336658,0.24754836803715127,0.5254965904685054,0.2787188761288078,0.5794775268695028,0.27036199558247587,0.5797385071905159,0.23631682054166808,0.5442880157196184
scissors,0.17567473417872195,0.41363769051965993,0.28329505408202543,0.6548906769227669,0.3309955184815499,0.7166010472431599,0.31717421070181456,0.6874014597595302,0.20233605924202888,0.5299792340852586
scissors,0.1870987433855798,0.4114984574680255,0.2769249777443498,0.6255552939479829,0.323583680562995,0.6809423016587265,0.29554098415268554,0.6400130963746232,0.22563026095398617,0.5369656401328089
scissors,0.1490997410885475,0.32221770222609475,0.22618145004830467,0.4888070130329068,0.25932771049299924,0.534477376344516,0.23918620479096614,0.5106091996204235,0.18663846419810082,0.44254787545042384
scissors,0.1304726413725676,0.2838116321803204,0.19731427521525816,0.42734713468076363,0.22566859405792386,0.46465340129391514,0.2121223331239623,0.4462467338287257,0.16397398339487237,0.38401257584710213
scissors,0.13649310723648966,0.29223634501366685,0.19772896540124038,0.4279884050107437,0.2266293246400612,0.4660491653300542,0.21480301294319812,0.4484940925168368,0.1653757602838795,0.3827332213139988
scissors,0.13164561026352495,0.2877082223401314,0.1826584337816994,0.41993863986103847,0.2080426207015966,0.4541596401327332,0.20333960790259215,0.4408712527678234,0.15726087962156937,0.37567710822180034
scissors,0.11941437044248811,0.2701470430581885,0.17010176292219464,0.40391853357596,0.21809245537966626,0.4650252105314174,0.20722762046147336,0.443213424278334,0.155606246687961,0.36903142973437963
scissors,0.12564482507760763,0.2658023651604269,0.138027978360109,0.36717637601719444,0.17064950675658044,0.41411163679619895,0.17173872086150482,0.41129242283494466,0.13587316853222,0.3587149734585225
scissors,0.132281692376274,0.27663710596156244,0.17229580908104,0.39161695869822194,0.2106609834797621,0.4400390902569049,0.2025447579379251,0.4282786510513255,0.163687672768417,0.3753195299326631
scissors,0.12928199782066058,0.2636046233682767,0.16349472769308734,0.36314299116738935,0.20510633805783032,0.4195784797640042,0.1999763643776358,0.416449848402148,0.1689436952000263,0.3823553533694506
scissors,0.12347245052641605,0.2527844947162322,0.16210608182469557,0.3490284587516445,0.19452147943078976,0.400281212912483,0.18940280584628097,0.4018478026932759,0.16141921359437758,0.37428373155623307
scissors,0.13088510155140012,0.2559849836959487,0.15637963778882427,0.3450433189716701,0.1944094858388433,0.40881497598496,0.18288140915352671,0.40891194964065125,0.15593377081475157,0.38451834185276756
scissors,0.13615463228858043,0.2656225172276585,0.18053456800098416,0.38035204547347573,0.20782971301812636,0.4286160457391178,0.19907755892399656,0.42323775443666106,0.17427966090589483,0.3970518854622044
scissors,0.11769789441164845,0.2618484067276876,0.19304410866045674,0.4286871448269147,0.2314357104813835,0.48330898240655096,0.22522368608513413,0.47520337290262027,0.1884723863945362,0.4244942052439533
scissors,0.11277025866355042,0.24706092191750756,0.19324012076758182,0.4336612089725771,0.2395016573530067,0.4977986621310718,0.23311402102417594,0.48952302634428385,0.18907873818255005,0.43120950081876114
scissors,0.10422877304251255,0.23245933691441303,0.19256417717776408,0.4323843119556241,0.24303562580723087,0.5005287795458129,0.23277465056139868,0.4867810925253853,0.1903517368289202,0.42979078389162834
scissors,0.09556413733031438,0.2660434188399021,0.2191555262694114,0.48004135313251817,0.2538910477051696,0.5134273689674286,0.23545064911280567,0.47984583071933967,0.17895237789094234,0.3947071473241944
