Gesture,Thumb_TIP_MCP,Thumb_TIP_Wrist,Index_TIP_MCP,Index_TIP_Wrist,Middle_TIP_MCP,Middle_TIP_Wrist,Ring_TIP_MCP,Ring_TIP_Wrist,Pinky_TIP_MCP,Pinky_TIP_Wrist
fist,0.18384489705856505,0.34234090562404235,0.09692445248220738,0.20465750414436001,0.08807410815667095,0.17689660795190182,0.07628481920083777,0.16677031551289972,0.06251804294593491,0.1781024481102337
fist,0.17772411175319136,0.3362501870353003,0.10373432501253599,0.18774183420022786,0.10014667192401909,0.1619898270815566,0.09259872780228627,0.15070497290209056,0.08294640959385012,0.15312298362649693
fist,0.17191484768577342,0.3382114934583319,0.11337712533586042,0.1949211516406677,0.11431657301079001,0.1735628254814801,0.10656055153003492,0.15913600105325987,0.0962140245269323,0.15507725469360198
fist,0.1583294307734605,0.3305900628686802,0.11723843683759266,0.19992866051326827,0.11790887877548335,0.1819296862901344,0.11093739142517661,0.1661942279225534,0.09448043479365655,0.16467800964159865
fist,0.15134965488839436,0.30505502402351875,0.1005782380299025,0.20884131537011594,0.11101861178364279,0.18158597246395247,0.10593411374091567,0.16565349836077733,0.09626520674217079,0.16552660085158485
fist,0.14299114869313465,0.3317076896548852,0.12447842667398586,0.20963199318647815,0.12147003436269907,0.20266529272702047,0.11636678730739095,0.1816448309056478,0.09847463482376467,0.1722101326758013
fist,0.18932710236278985,0.32427711250713964,0.09213181995526057,0.19002914789375325,0.09455827670984965,0.1588409862217417,0.08315114896153732,0.1483264523056816,0.06848592679847416,0.1633701803091845
fist,0.18657895446332473,0.31527284049884735,0.1011625571793136,0.21285799336346845,0.07997690586589859,0.1828195707086709,0.06426976898971988,0.16396658810594214,0.06600808504848724,0.1561259962818698
fist,0.18526059290202299,0.32681171630867656,0.09523063338490433,0.2017806248027364,0.08317636389565536,0.16966431157121625,0.06815396584295294,0.14543089883816646,0.059693117204090124,0.14451010742756504
fist,0.18798374299483264,0.311971440984657,0.09609349050880853,0.18523336668085347,0.09449169492196513,0.14777160498210973,0.08057369135672499,0.13108104385805902,0.06836010428459247,0.1408296141022183
